"make_model","city_mpg","hwy_mpg","eng_type","torque","hp","cyl","displacement","drivetrain","transmission","weight"
Ford Fusion SE 4dr,22,34,Gas,175,175,4,2.5,FWD,Auto,3427
Honda Accord LX 4dr,27,36,Gas,181,185,4,2.4,FWD,Auto,3254
Honda Accord LX 4d,24,34,Gas,181,185,4,2.4,FWD,Manual,3192
Honda Accord LX-S 2d,24,34,Gas,181,185,4,2.4,FWD,Manual,3186
Honda Accord Sport 4d,24,34,Gas,182,189,4,2.4,FWD,Manual,3276
Honda Civic EX 2d,29,38,Gas,129,143,4,1.8,FWD,Auto,2811
Honda Civic EX 2d,28,36,Gas,129,143,4,1.8,FWD,Manual,2811
Honda Civic EX 4d,30,39,Gas,129,143,4,1.8,FWD,Auto,2811
Honda Civic EX-L 2d,29,38,Gas,129,143,4,1.8,FWD,Auto,2811
Honda Civic EX-L 2dr w/Navigatio,29,38,Gas,129,143,4,1.8,FWD,Auto,2811
Honda Civic EX-L 4d,30,39,Gas,129,143,4,1.8,FWD,Auto,2811
Honda Civic HF 4d,31,41,Gas,129,143,4,1.8,FWD,Auto,2811
Honda Civic Si 2dr w/Nav,22,31,Gas,170,201,4,2.4,FWD,Manual,3002
Honda CR-Z 2dr,36,39,Hybrid,127,130,4,1.5,FWD,Auto,2694
Honda CR-Z 2d,31,38,Hybrid,140,130,4,1.5,FWD,Manual,2639
Honda CR-Z EX 2dr,36,39,Hybrid,127,130,4,1.5,FWD,Auto,2710
Honda CR-Z EX 2d,31,38,Hybrid,140,130,4,1.5,FWD,Manual,2658
Honda CR-Z EX 2dr w/Navigatio,36,39,Hybrid,127,130,4,1.5,FWD,Auto,2716
Honda CR-Z EX 2dr w/Navigatio,31,38,Hybrid,140,130,4,1.5,FWD,Manual,2663
Honda Insight EX 4dr hatc,41,44,Hybrid,123,98,4,1.3,FWD,Auto,2762
Honda Insight EX 4dr hatch w/Navigatio,41,44,Hybrid,123,98,4,1.3,FWD,Auto,2767
Honda Insight LX 4dr hatc,41,44,Hybrid,123,98,4,1.3,FWD,Auto,2756
Hyundai Elantra GT 4dr hatc,24,34,Gas,154,173,4,2.0,FWD,Manual,2908
Hyundai Elantra Limited 4d,27,37,Gas,130,145,4,1.8,FWD,Auto,2818
Hyundai Elantra Sport 4d,24,35,Gas,154,173,4,2.0,FWD,Auto,2818
Hyundai Veloster Turbo 2dr hatch w/Black Interior Colo,24,31,Gas,195,201,4,1.6,FWD,Auto,2888
Hyundai Veloster Turbo 2dr hatch w/Black Interior Colo,24,33,Gas,195,201,4,1.6,FWD,Manual,2800
Hyundai Veloster Turbo 2dr hatch w/Blue Interior Colo,24,31,Gas,195,201,4,1.6,FWD,Auto,2888
Hyundai Veloster Turbo 2dr hatch w/Blue Interior Colo,24,33,Gas,195,201,4,1.6,FWD,Manual,2800
Kia Forte EX 4dr,24,36,Gas,154,173,4,2.0,FWD,Auto,2857
Kia Forte Koup SX 2d,22,30,Gas,195,201,4,1.6,FWD,Auto,2871
Kia Forte5 SX 4dr hatc,21,29,Gas,195,201,4,1.6,FWD,Auto,2912
Kia Optima EX 4dr,23,34,Gas,181,192,4,2.4,FWD,Auto,3272
Kia Optima LX 4dr,23,34,Gas,181,192,4,2.4,FWD,Auto,3237
Kia Soul ! 4dr hatc,23,31,Gas,151,164,4,2.0,FWD,Auto,2714
Mazda3 i Grand Touring 4dr,30,41,Gas,150,155,4,2.0,FWD,Auto,2866
Mazda3 i Grand Touring 4d,29,41,Gas,150,155,4,2.0,FWD,Manual,2799
Mazda3 i Grand Touring 4dr hatc,29,40,Gas,150,155,4,2.0,FWD,Manual,2815
Mazda3 i Sport 4dr,30,41,Gas,150,155,4,2.0,FWD,Auto,2866
Mazda3 i Sport 4dr hatch,30,40,Gas,150,155,4,2.0,FWD,Auto,2873
Mazda3 i Touring 4dr,30,41,Gas,150,155,4,2.0,FWD,Auto,2866
Mazda3 i Touring 4d,29,41,Gas,150,155,4,2.0,FWD,Manual,2799
Mazda3 i Touring 4dr hatch,30,40,Gas,150,155,4,2.0,FWD,Auto,2873
Mazda3 i Touring 4dr hatc,29,40,Gas,150,155,4,2.0,FWD,Manual,2815
Mazda6 i Sport 4dr,26,38,Gas,185,184,4,2.5,FWD,Auto,3232
Mazda6 i Sport 4d,25,37,Gas,185,184,4,2.5,FWD,Manual,3183
Mazda6 i Touring 4d,25,37,Gas,185,184,4,2.5,FWD,Manual,3183
Mini Cooper Clubman 2dr hatch,28,35,Gas,114,121,4,1.6,FWD,Manual,2712
Mini Cooper Countryman 4dr hatc,28,35,Gas,114,121,4,1.6,FWD,Manual,2954
Mini Cooper Coupe 2d,29,37,Gas,118,121,4,1.6,FWD,Manual,2557
Mini Cooper Paceman 2dr hatc,28,35,Gas,118,121,4,1.6,FWD,Manual,2940
Mitsubishi Lancer GT 4dr,23,30,Gas,167,168,4,2.4,FWD,Auto,3032
Mitsubishi Lancer GT 4d,22,31,Gas,167,168,4,2.4,FWD,Manual,2966
Mitsubishi Lancer GT Sportback 4dr hatc,22,29,Gas,167,168,4,2.4,FWD,Auto,3032
Mitsubishi Lancer SE AWD 4dr,22,29,Gas,167,168,4,2.4,AWD,Auto,3120
Nissan Altima 2.5 4dr,27,38,Gas,180,182,4,2.5,FWD,Auto,3182
Nissan Altima 2.5 S 4dr,27,38,Gas,180,182,4,2.5,FWD,Auto,3193
Nissan Altima 2.5 SV 4dr,27,38,Gas,180,182,4,2.5,FWD,Auto,3206
Nissan Sentra SL 4dr,30,39,Gas,128,130,4,1.8,FWD,Auto,2851
Scion tC 10 Series 2dr hatch,23,31,Gas,172,172,4,2.5,FWD,Auto,3124
Scion tC 10 Series 2dr hatc,23,31,Gas,172,172,4,2.5,FWD,Manual,3124
Scion tC 2dr hatch,23,31,Gas,172,172,4,2.5,FWD,Auto,3124
Subaru Impreza 2.0i AWD 4dr hatc,27,36,Gas,145,148,4,2.0,AWD,Auto,2910
Subaru Impreza 2.0i Limited AWD 4dr,27,36,Gas,145,148,4,2.0,AWD,Auto,3053
Subaru Impreza 2.0i Limited AWD 4dr hatc,27,36,Gas,145,148,4,2.0,AWD,Auto,3053
Subaru Impreza 2.0i Premium AWD 4dr,27,36,Gas,145,148,4,2.0,AWD,Auto,3009
Subaru Impreza 2.0i Premium AWD 4d,25,34,Gas,145,148,4,2.0,AWD,Manual,2954
Subaru Impreza 2.0i Premium AWD 4dr hatc,27,36,Gas,145,148,4,2.0,AWD,Auto,3009
Subaru Impreza 2.0i Premium AWD 4dr hatc,25,33,Gas,145,148,4,2.0,AWD,Manual,2954
Subaru Impreza 2.0i Sport Limited AWD 4dr hatc,27,36,Gas,145,148,4,2.0,AWD,Auto,3086
Subaru Impreza 2.0i Sport Premium AWD 4dr hatc,27,36,Gas,145,148,4,2.0,AWD,Auto,3075
Subaru Impreza 2.0i Sport Premium AWD 4dr hatch- Manua,25,33,Gas,145,148,4,2.0,AWD,Manual,2998
Subaru Legacy 2.5i 4dr,24,32,Gas,174,173,4,2.5,AWD,Auto,3392
Subaru Legacy 2.5i 4d,22,29,Gas,174,173,4,2.5,AWD,Manual,3315
Subaru Legacy 2.5i 4dr (PZEV,24,32,Gas,174,173,4,2.5,AWD,Auto,3392
Subaru Legacy 2.5i Premium 4dr,24,32,Gas,174,173,4,2.5,AWD,Auto,3388
Subaru Legacy 2.5i Premium 4dr (PZEV,24,32,Gas,174,173,4,2.5,AWD,Auto,3388
Toyota Camry L 4dr,25,35,Gas,170,178,4,2.5,FWD,Auto,3190
Toyota Camry LE 4dr,25,35,Gas,170,178,4,2.5,FWD,Auto,3190
Toyota Camry SE 4dr,25,35,Gas,170,178,4,2.5,FWD,Auto,3240
Toyota Corolla LE Eco Plus 4dr,30,40,Gas,126,140,4,1.8,FWD,Auto,2875
Toyota Corolla LE Eco Premium 4dr,30,40,Gas,126,140,4,1.8,FWD,Auto,2875
Toyota Corolla LE Premium 4dr,29,38,Gas,128,132,4,1.8,FWD,Auto,2855
Toyota Corolla S Plus 4dr,29,37,Gas,128,132,4,1.8,FWD,Auto,2865
Toyota Corolla S Plus 4d,28,37,Gas,128,132,4,1.8,FWD,Manual,2845
Toyota Corolla S Premium 4dr,29,37,Gas,128,132,4,1.8,FWD,Auto,2865
Toyota Prius c Four 4dr hatch,53,46,Hybrid,82,73,4,1.5,FWD,Auto,2500
Toyota Prius c Three 4dr hatch,53,46,Hybrid,82,73,4,1.5,FWD,Auto,2500
Toyota Prius c Two 4dr hatch,53,46,Hybrid,82,73,4,1.5,FWD,Auto,2500
Volkswagen Beetle 2dr hatch,22,29,Gas,177,170,5,2.5,FWD,Auto,3036
Volkswagen Beetle 2dr hatc,22,31,Gas,177,170,5,2.5,FWD,Manual,2987
Volkswagen Beetle 2dr hatch w/Sun Roof,22,29,Gas,177,170,5,2.5,FWD,Auto,3036
Volkswagen Beetle 2dr hatch w/Sun Roo,22,31,Gas,177,170,5,2.5,FWD,Manual,2987
Volkswagen Golf 4dr hatch,23,30,Gas,177,170,5,2.5,FWD,Auto,3102
Volkswagen Golf 4dr hatch w/Convenience Pkg & Moon Roo,23,30,Gas,177,170,5,2.5,FWD,Auto,3102
Volkswagen Jetta SE 4dr,25,36,Gas,184,170,4,1.8,FWD,Auto,3074
Volkswagen Jetta SE 4dr w/Connectivit,25,36,Gas,184,170,4,1.8,FWD,Auto,3074
Volkswagen Jetta SE 4dr w/Connectivit,26,36,Gas,184,170,4,1.8,FWD,Manual,3021
Volkswagen Jetta SE 4dr w/Connectivity & Moon Roo,25,36,Gas,184,170,4,1.8,FWD,Auto,3074
Volkswagen Jetta SE 4dr w/Connectivity & Moon Roo,26,36,Gas,184,170,4,1.8,FWD,Manual,3021
Volkswagen Jetta TDI 4d,30,42,Diesel,236,140,4,2.0,FWD,Manual,3162
Volkswagen Passat S 4dr,22,31,Gas,177,170,5,2.5,FWD,Auto,3221
Volkswagen Passat S 4d,22,32,Gas,177,170,5,2.5,FWD,Manual,3166
Volkswagen Passat SE 4d,22,32,Gas,177,170,5,2.5,FWD,Manual,3166
Acura RLX 4dr,20,31,Gas,272,310,6,3.5,FWD,Auto,3933
Acura TL 4dr w/Advance Pk,20,29,Gas,254,280,6,3.5,FWD,Auto,3770
Acura TL 4dr w/Technology Pk,20,29,Gas,254,280,6,3.5,FWD,Auto,3741
Acura TL SH- AWD 4dr,18,26,Gas,273,305,6,3.7,AWD,Auto,3968
Acura TL SH-AWD 4dr w/Advance Pk,18,26,Gas,273,305,6,3.7,AWD,Auto,4001
Acura TL SH-AWD 4dr w/Technology Pk,18,26,Gas,273,305,6,3.7,AWD,Auto,3982
Acura TL SH-AWD 4dr w/Technology Pk,17,25,Gas,273,305,6,3.7,AWD,Manual,3889
Acura TSX V6 4dr w/Technology Pk,19,28,Gas,254,280,6,3.5,FWD,Auto,3680
Audi A4 Premium Plus Quattro AWD 4d,20,29,Gas,258,211,4,2.0,AWD,Auto,3692
Audi A4 Prestige 4dr,24,32,Gas,258,211,4,2.0,FWD,Auto,3516
Audi A4 Prestige Quattro AWD 4d,20,29,Gas,258,211,4,2.0,AWD,Auto,3692
Audi A4 Prestige Quattro AWD 4d,22,32,Gas,258,211,4,2.0,AWD,Manual,3616
Audi A5 Premium convertible,24,32,Gas,258,220,4,2.0,FWD,Auto,3880
Audi A5 Premium Plus convertible,24,32,Gas,258,220,4,2.0,FWD,Auto,3880
Audi A5 Premium Plus Quattro AWD 2d,20,29,Gas,258,220,4,2.0,AWD,Auto,3682
Audi A5 Premium Plus Quattro AWD 2d,22,32,Gas,258,220,4,2.0,AWD,Manual,3583
Audi A5 Premium Quattro AWD 2dr,20,29,Gas,258,220,4,2.0,AWD,Auto,3682
Audi A5 Premium Quattro AWD convertible,20,29,Gas,258,220,4,2.0,AWD,Auto,4045
Audi A5 Prestige Quattro AWD 2d,22,32,Gas,258,220,4,2.0,AWD,Manual,3583
Audi A6 2.0T Premium 4dr,25,33,Gas,258,220,4,2.0,FWD,Auto,3726
Audi A6 2.0T Premium Plus 4dr,25,33,Gas,258,220,4,2.0,FWD,Auto,3726
Audi A6 2.0T Premium Quattro AWD 4d,20,29,Gas,258,220,4,2.0,AWD,Auto,3957
Audi S4 Premium Plus Quattro AWD 4d,17,26,Gas,325,333,6,3.0,AWD,Manual,3858
BMW 328d xDrive AWD 4dr,31,43,Diesel,280,180,4,2.0,AWD,Auto,3620
BMW 328i Gran Turismo xDrive AWD 4dr hatc,22,33,Gas,255,240,4,2.0,AWD,Auto,3915
BMW 328i xDrive AWD 4dr,22,33,Gas,255,240,4,2.0,AWD,Auto,3595
BMW 335i Gran Turismo xDrive AWD 4dr hatc,20,30,Gas,300,300,6,3.0,AWD,Auto,4010
BMW 335i RWD 4dr,22,32,Gas,300,300,6,3.0,RWD,Auto,3545
BMW 335i xDrive AWD 4dr,20,30,Gas,300,300,6,3.0,AWD,Auto,3695
BMW 428i RWD 2dr,23,35,Gas,258,241,4,2.0,RWD,Auto,4385
BMW 428i xDrive AWD 2dr,22,33,Gas,258,241,4,2.0,AWD,Auto,4540
BMW 435i RWD 2dr,22,32,Gas,295,300,6,3.0,RWD,Auto,4505
BMW 435i xDrive AWD 2dr,20,30,Gas,295,300,6,3.0,AWD,Auto,4650
Buick LaCrosse Premium I AWD 4dr,17,26,Gas,264,304,6,3.6,AWD,Auto,3906
Buick LaCrosse Premium II 4dr,18,28,Gas,264,304,6,3.6,FWD,Auto,3906
Buick Regal GS AWD 4dr,19,27,Gas,295,259,4,2.0,AWD,Auto,3725
Cadillac ATS 2.0L Luxury AWD 4dr,20,29,Gas,260,272,4,2.0,AWD,Auto,3542
Cadillac ATS 2.0L Luxury RWD 4dr,21,31,Gas,260,272,4,2.0,RWD,Auto,3373
Cadillac ATS 2.0L Performance AWD 4dr,20,29,Gas,260,272,4,2.0,AWD,Auto,3542
Cadillac ATS 2.0L Performance RWD 4dr,21,31,Gas,260,272,4,2.0,RWD,Auto,3373
Cadillac ATS 2.0L Premium AWD 4dr,20,29,Gas,260,272,4,2.0,AWD,Auto,3542
Cadillac ATS 2.0L Premium RWD 4dr,21,31,Gas,260,272,4,2.0,RWD,Auto,3373
Cadillac ATS 3.6L Luxury AWD 4dr,18,26,Flexible Fuel,275,321,6,3.6,AWD,Auto,3629
Cadillac ATS 3.6L Luxury RWD 4dr,18,28,Flexible Fuel,275,321,6,3.6,RWD,Auto,3461
Cadillac ATS 3.6L Performance AWD 4dr,18,26,Flexible Fuel,275,321,6,3.6,AWD,Auto,3629
Cadillac ATS 3.6L Performance RWD 4dr,18,28,Flexible Fuel,275,321,6,3.6,RWD,Auto,3461
Cadillac ATS 3.6L Premium AWD 4dr,18,26,Flexible Fuel,275,321,6,3.6,AWD,Auto,3629
Cadillac ATS 3.6L Premium RWD 4dr,18,28,Flexible Fuel,275,321,6,3.6,RWD,Auto,3461
Cadillac CTS 2.0 Standard Sport AWD 4dr,19,28,Gas,295,272,4,2.0,AWD,Auto,3772
Cadillac CTS 2.0 Standard Sport RWD 4dr,20,30,Gas,295,272,4,2.0,RWD,Auto,3616
Cadillac CTS 3.6 AWD 2dr,18,26,Gas,275,318,6,3.6,AWD,Auto,4102
Cadillac CTS 3.6 Performance Collection AWD 2dr,18,26,Gas,275,318,6,3.6,AWD,Auto,4102
Cadillac CTS 3.6 Performance Collection RWD 2dr,18,27,Gas,275,318,6,3.6,RWD,Auto,3915
Cadillac CTS 3.6 Premium Collection RWD 2dr,18,27,Gas,275,318,6,3.6,RWD,Auto,3915
Cadillac CTS 3.6 RWD 2dr,18,27,Gas,275,318,6,3.6,RWD,Auto,3915
Cadillac XTS 4dr,18,28,Gas,264,304,6,3.6,FWD,Auto,4006
Chevrolet SS 4dr,14,21,Gas,415,415,8,6.2,RWD,Auto,3975
Chrysler 300C AWD 4dr,18,27,Gas,264,300,6,3.6,AWD,Auto,4515
Chrysler 300C John Varvatos Luxury AWD 4dr,18,27,Gas,264,300,6,3.6,AWD,Auto,4515
Chrysler 300C John Varvatos Luxury RWD 4dr,19,31,Gas,264,300,6,3.6,RWD,Auto,4326
Dodge Charger R/T Max AWD 4dr,15,23,Gas,395,370,8,5.7,AWD,Auto,4450
Dodge Charger SRT8 RWD 4dr,14,23,Gas,470,470,8,6.4,RWD,Auto,4365
Dodge Charger SRT8 Super Bee RWD 4dr,14,23,Gas,470,470,8,6.4,RWD,Auto,4365
Ford Fusion Energi Plug-In Hybrid Titanium 4dr,44,41,Hybrid,129,141,4,2.0,FWD,Auto,3913
Ford Taurus SHO AWD 4dr,17,25,Gas,350,365,6,3.5,AWD,Auto,4455
Honda Accord Plug-in Hybrid 4dr,47,46,Hybrid,122,182,4,2.0,FWD,Auto,3799
Hyundai Genesis 5.0 R-Spec 4dr,15,23,Gas,376,429,8,5.0,RWD,Auto,4240
Infiniti Q50 Premium AWD 4dr,19,27,Gas,269,328,6,3.7,AWD,Auto,3787
Infiniti Q50 Premium RWD 4dr,20,29,Gas,269,328,6,3.7,RWD,Auto,3611
Infiniti Q50 Hybrid Premium AWD 4dr,27,31,Hybrid,258,296,6,3.5,AWD,Auto,4085
Infiniti Q50 Hybrid Premium RWD 4dr,29,36,Hybrid,258,296,6,3.5,RWD,Auto,3913
Infiniti Q50 Sport AWD 4dr,19,27,Gas,269,328,6,3.7,AWD,Auto,3849
Infiniti Q50 Sport RWD 4dr,20,29,Gas,269,328,6,3.7,RWD,Auto,3675
Infiniti Q50 Sport Hybrid AWD 4dr,27,31,Hybrid,258,296,6,3.5,AWD,Auto,4145
Infiniti Q50 Sport Hybrid RWD 4dr,28,34,Hybrid,258,296,6,3.5,RWD,Auto,3973
Jaguar XF Sports RWD 4dr,19,30,Gas,251,240,4,2.0,RWD,Auto,3660
Lexus ES 300h 4dr,40,39,Hybrid,156,156,4,2.5,FWD,Auto,3660
Lexus GS 350 RWD 4dr,19,29,Gas,277,306,6,3.5,RWD,Auto,3795
Lexus IS 250C Sport RWD convertible,21,30,Gas,185,204,6,2.5,RWD,Auto,3806
Lexus IS 350 Sport AWD 4dr,19,26,Gas,277,306,6,3.5,AWD,Auto,3737
Lexus IS 350 Sport RWD 4dr,19,28,Gas,277,306,6,3.5,RWD,Auto,3593
Lexus IS 350C Sport RWD convertible,19,27,Gas,277,306,6,3.5,RWD,Auto,3872
Lincoln MKS 4dr,19,28,Gas,279,304,6,3.7,FWD,Auto,4216
Lincoln MKS AWD 4dr,18,26,Gas,279,304,6,3.7,AWD,Auto,4374
Lincoln MKS EcoBoost AWD 4dr,17,25,Gas,350,365,6,3.5,AWD,Auto,4479
Mercedes-Benz C300 4MATIC Luxury AWD 4dr,20,29,Gas,251,248,6,3.5,AWD,Auto,3737
Mercedes-Benz C300 4MATIC Sport AWD 4dr,20,29,Gas,251,248,6,3.5,AWD,Auto,3726
Mercedes-Benz C350 4MATIC AWD 2dr,19,27,Gas,273,302,6,3.5,AWD,Auto,3737
Mercedes-Benz C350 RWD 2dr,20,28,Gas,273,302,6,3.5,RWD,Auto,3616
Mercedes-Benz C350 Sport RWD 4dr,20,29,Gas,273,302,6,3.5,RWD,Auto,3616
Mercedes-Benz CLA45 AMG 4MATIC AWD 4dr,23,31,Gas,332,355,4,2.0,AWD,Auto,3494
Toyota Avalon Limited 4dr,21,31,Gas,248,268,6,3.5,FWD,Auto,3538
Toyota Avalon Limited Hybrid 4dr,40,39,Hybrid,156,200,4,2.5,FWD,Auto,3638
Volkswagen CC VR6 4Motion Executive AWD 4dr,17,25,Gas,265,280,6,3.6,AWD,Auto,3851
Volkswagen Eos Executive convertible,22,30,Gas,207,200,4,2.0,FWD,Auto,3508
Volvo S60 T6 AWD 4dr,18,25,Gas,325,300,6,3.0,AWD,Auto,3812
Volvo S60 T6 Platinum AWD 4dr,18,25,Gas,325,300,6,3.0,AWD,Auto,3812
Volvo S60 T6 Premier Plus AWD 4dr,18,25,Gas,325,300,6,3.0,AWD,Auto,3812
Volvo S60 T6 R-Design AWD 4dr,18,25,Gas,354,325,6,3.0,AWD,Auto,3835
Volvo S60 T6 R-Design Platinum AWD 4dr,18,25,Gas,354,325,6,3.0,AWD,Auto,3835
Volvo S80 3.2 4dr,20,29,Gas,236,240,6,3.2,FWD,Auto,3761
Volvo S80 3.2 Platinum 4dr,20,29,Gas,236,240,6,3.2,FWD,Auto,3761
Volvo S80 3.2 Premier Plus 4dr,20,29,Gas,236,240,6,3.2,FWD,Auto,3761
Volvo S80 T6 AWD 4dr,18,25,Gas,325,300,6,3.0,AWD,Auto,4053
Volvo S80 T6 Platinum AWD 4dr,18,25,Gas,325,300,6,3.0,AWD,Auto,4053
Volvo S80 T6 Premier Plus AWD 4dr,18,25,Gas,325,300,6,3.0,AWD,Auto,4053
Audi R8 Quattro AWD 2d,14,23,Gas,317,430,8,4.2,AWD,Auto,3638
Audi R8 Quattro AWD 2d,11,20,Gas,317,430,8,4.2,AWD,Manual,3583
Audi R8 Spyder Quattro AWD convertibl,14,23,Gas,317,430,8,4.2,AWD,Auto,3792
Audi R8 Spyder Quattro AWD convertibl,11,20,Gas,317,430,8,4.2,AWD,Manual,3737
Audi R8 V10 Plus Quattro AWD 2d,13,22,Gas,398,550,10,5.2,AWD,Auto,3660
Audi R8 V10 Plus Quattro AWD 2d,12,19,Gas,398,550,10,5.2,AWD,Manual,3605
Audi R8 V10 Quattro AWD 2d,13,22,Gas,391,525,10,5.2,AWD,Auto,3792
Audi R8 V10 Quattro AWD 2d,12,19,Gas,391,525,10,5.2,AWD,Manual,3737
Audi R8 V10 Spyder Quattro AWD convertibl,13,22,Gas,391,525,10,5.2,AWD,Auto,3957
Audi R8 V10 Spyder Quattro AWD convertibl,12,19,Gas,391,525,10,5.2,AWD,Manual,3913
Audi TT Quattro 2d,22,31,Gas,258,211,4,2.0,AWD,Auto,3175
Audi TT Quattro convertibl,22,31,Gas,258,211,4,2.0,AWD,Auto,3340
Audi TTS Quattro 2d,22,31,Gas,258,265,4,2.0,AWD,Auto,3263
Audi TTS Quattro convertibl,22,31,Gas,258,265,4,2.0,AWD,Auto,3439
BMW M5 RWD 4dr,14,20,Gas,502,560,8,4.4,RWD,Auto,4387
BMW M6 Gran Coupe RWD 4dr,14,20,Gas,502,560,8,4.4,RWD,Auto,4430
BMW M6 RWD 2dr,14,20,Gas,502,560,8,4.4,RWD,Auto,4255
BMW M6 RWD convertible,14,20,Gas,502,560,8,4.4,RWD,Auto,4508
BMW Z4 sDrive28i convertibl,22,34,Gas,260,240,4,2.0,RWD,Manual,3263
BMW Z4 sDrive35i convertibl,19,26,Gas,300,300,6,3.0,RWD,Manual,3494
BMW Z4 sDrive35is convertible,17,24,Gas,332,335,6,3.0,RWD,Auto,3549
Chevrolet Camaro LS 2dr w/1L,17,28,Gas,278,323,6,3.6,RWD,Manual,3719
Chevrolet Camaro LS 2dr w/2L,19,30,Gas,278,323,6,3.6,RWD,Auto,3702
Chevrolet Camaro LT 2dr w/1L,17,28,Gas,278,323,6,3.6,RWD,Manual,3738
Chevrolet Camaro LT 2dr w/2L,17,28,Gas,278,323,6,3.6,RWD,Manual,3802
Chevrolet Camaro LT convertible w/1L,17,28,Gas,278,323,6,3.6,RWD,Manual,4014
Chevrolet Camaro LT convertible w/2L,17,28,Gas,278,323,6,3.6,RWD,Manual,4078
Chevrolet Camaro SS 2dr w/1S,16,24,Gas,420,426,8,6.2,RWD,Manual,3908
Chevrolet Camaro SS 2dr w/2S,16,24,Gas,420,426,8,6.2,RWD,Manual,3935
Chevrolet Camaro SS convertible w/1S,16,24,Gas,420,426,8,6.2,RWD,Manual,4172
Chevrolet Camaro SS convertible w/2S,16,24,Gas,420,426,8,6.2,RWD,Manual,4374
Chevrolet Camaro ZL1 2d,14,19,Gas,556,580,8,6.2,RWD,Manual,4120
Chevrolet Camaro ZL1 convertibl,14,19,Gas,556,580,8,6.2,RWD,Manual,4197
Chevrolet Corvette Stingray 2dr w/1L,17,29,Gas,450,450,8,6.2,RWD,Manual,3298
Chevrolet Corvette Stingray Z51 2dr w/1L,17,29,Gas,450,450,8,6.2,RWD,Manual,3298
Dodge Challenger R/T 2d,15,23,Gas,410,375,8,5.7,RWD,Manual,4082
Dodge Challenger R/T Classic 2d,15,23,Gas,410,375,8,5.7,RWD,Manual,4082
Dodge Challenger R/T Plus 2d,15,23,Gas,410,375,8,5.7,RWD,Manual,4082
Dodge Challenger Rallye Redline 2dr,18,27,Flexible Fuel,268,305,6,3.6,RWD,Auto,3834
Dodge Challenger SRT8 2d,14,23,Gas,470,470,8,6.4,RWD,Manual,4160
Dodge Challenger SRT8 Core 2d,14,23,Gas,470,470,8,6.4,RWD,Manual,4160
Dodge Challenger SXT 2dr,18,27,Flexible Fuel,268,305,6,3.6,RWD,Auto,3834
Dodge Challenger SXT Plus 2dr,18,27,Flexible Fuel,268,305,6,3.6,RWD,Auto,3834
Ford Mustang 2d,19,29,Gas,280,305,6,3.7,RWD,Manual,3501
Ford Mustang convertibl,19,29,Gas,280,305,6,3.7,RWD,Manual,3630
Ford Mustang GT 2d,15,26,Gas,390,420,8,5.0,RWD,Manual,3618
Ford Mustang GT convertibl,15,26,Gas,390,420,8,5.0,RWD,Manual,3735
Ford Mustang GT Premium 2d,15,26,Gas,390,420,8,5.0,RWD,Manual,3618
Ford Mustang GT Premium convertibl,15,26,Gas,390,420,8,5.0,RWD,Manual,3735
Ford Mustang Premium 2d,19,29,Gas,280,305,6,3.7,RWD,Manual,3501
Ford Mustang Premium convertibl,19,29,Gas,280,305,6,3.7,RWD,Manual,3630
Ford Mustang Shelby GT500 2d,15,24,Gas,631,662,8,5.8,RWD,Manual,3845
Ford Mustang Shelby GT500 convertibl,15,24,Gas,631,662,8,5.8,RWD,Manual,3892
Jaguar F-Type convertible,20,28,Gas,332,340,6,3.0,RWD,Auto,3521
Jaguar F-Type S convertible,19,27,Gas,339,380,6,3.0,RWD,Auto,3558
Jaguar F-Type V8 S convertible,16,23,Gas,460,495,8,5.0,RWD,Auto,3671
Jaguar XK 2dr,16,24,Gas,380,385,8,5.0,RWD,Auto,3770
Jaguar XK convertible,16,22,Gas,380,385,8,5.0,RWD,Auto,3924
Jaguar XK Touring 2dr,16,24,Gas,380,385,8,5.0,RWD,Auto,3770
Jaguar XK Touring convertible,16,22,Gas,380,385,8,5.0,RWD,Auto,3924
Jaguar XKR 2dr,15,22,Gas,461,510,8,5.0,RWD,Auto,3968
Jaguar XKR convertible,15,22,Gas,461,510,8,5.0,RWD,Auto,4079
Jaguar XKR-S 2dr,15,22,Gas,461,510,8,5.0,RWD,Auto,3968
Jaguar XKR-S convertible,15,22,Gas,461,510,8,5.0,RWD,Auto,4079
Jaguar XKR-S GT 2dr (Late Availability,15,22,Gas,502,550,8,5.0,RWD,Auto,3968
Mazda Miata MX-5 Club Hard Top convertibl,21,28,Gas,140,158,4,2.0,RWD,Auto,2619
Mazda Miata MX-5 Club Hard Top convertibl,21,28,Gas,140,167,4,2.0,RWD,Manual,2593
Mazda Miata MX-5 Club Soft Top convertibl,21,28,Gas,140,158,4,2.0,RWD,Auto,2542
Mazda Miata MX-5 Club Soft Top convertibl,21,28,Gas,140,167,4,2.0,RWD,Manual,2480
Mazda Miata MX-5 Grand Touring Hard Top convertibl,21,28,Gas,140,158,4,2.0,RWD,Auto,2619
Mazda Miata MX-5 Grand Touring Soft Top convertibl,21,28,Gas,140,158,4,2.0,RWD,Auto,2542
Mazda Miata MX-5 Sport convertible,21,28,Gas,140,158,4,2.0,RWD,Auto,2542
Mercedes-Benz SL550 convertible,18,25,Gas,516,429,8,4.6,RWD,Auto,4001
Mercedes-Benz SL63 AMG convertible,16,25,Gas,590,530,8,5.5,RWD,Auto,4068
Mercedes-Benz SL65 AMG convertible,14,21,Gas,738,621,12,6.0,RWD,Auto,4299
